"name","spectrum_id","feature_idx","precursor_mz","precursor_rt","n_peaks","ID","feature_name","feature_mz","feature_rt","in_top_500","rank","label","full_label","display_label","cluster","size"
"878","feat_387_spec_4",387,187.00803,9.063,16,3016,NA,187.00803,9.063,FALSE,NA,"F387_S4","Feature 387
187.01 m/z @ 9.06 min",NA,2,4.27450980392157
"879","feat_389_spec_1",389,187.02247,9.088,18,4751,NA,187.02247,9.088,FALSE,NA,"F389_S1","Feature 389
187.02 m/z @ 9.09 min",NA,2,4.47058823529412
"880","feat_389_spec_2",389,187.02247,9.088,12,4751,NA,187.02247,9.088,FALSE,NA,"F389_S2","Feature 389
187.02 m/z @ 9.09 min",NA,2,3.88235294117647
"881","feat_391_spec_1",391,187.04201,0.752,18,2,NA,187.04201,0.752,FALSE,NA,"F391_S1","Feature 391
187.04 m/z @ 0.75 min",NA,77,4.47058823529412
"882","feat_391_spec_2",391,187.04201,0.752,8,2,NA,187.04201,0.752,FALSE,NA,"F391_S2","Feature 391
187.04 m/z @ 0.75 min",NA,78,3.49019607843137
"883","feat_391_spec_3",391,187.04201,0.752,14,2,NA,187.04201,0.752,FALSE,NA,"F391_S3","Feature 391
187.04 m/z @ 0.75 min",NA,79,4.07843137254902
"884","feat_391_spec_4",391,187.04201,0.752,13,2,NA,187.04201,0.752,FALSE,NA,"F391_S4","Feature 391
187.04 m/z @ 0.75 min",NA,80,3.98039215686275
"889","feat_393_spec_5",393,187.0421,0.819,18,1570,NA,187.0421,0.819,FALSE,NA,"F393_S5","Feature 393
187.04 m/z @ 0.82 min",NA,77,4.47058823529412
"890","feat_393_spec_6",393,187.0421,0.819,8,1570,NA,187.0421,0.819,FALSE,NA,"F393_S6","Feature 393
187.04 m/z @ 0.82 min",NA,78,3.49019607843137
"891","feat_393_spec_7",393,187.0421,0.819,14,1570,NA,187.0421,0.819,FALSE,NA,"F393_S7","Feature 393
187.04 m/z @ 0.82 min",NA,79,4.07843137254902
